Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Usar un preservativo masculino;Total;Varones;Total;10.532,10
Usar un preservativo masculino;Total;Varones;Al menos 1 vez al mes;7.566,40
Usar un preservativo masculino;Total;Varones;Menos de 1 vez al mes;2.930,70
Usar un preservativo masculino;Total;Varones;No consta;35
Usar un preservativo masculino;Total;Mujeres;Total;10.227,50
Usar un preservativo masculino;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Usar un preservativo masculino;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Usar un preservativo masculino;Total;Mujeres;No consta;36,1
Usar un preservativo masculino;Eficaz;Ambos sexos;Total;19.629,00
Usar un preservativo masculino;Eficaz;Ambos sexos;Al menos 1 vez al mes;13.194,50
Usar un preservativo masculino;Eficaz;Ambos sexos;Menos de 1 vez al mes;6.384,60
Usar un preservativo masculino;Eficaz;Ambos sexos;No consta;49,8
Usar un preservativo masculino;Eficaz;Varones;Total;10.016,40
Usar un preservativo masculino;Eficaz;Varones;Al menos 1 vez al mes;7.279,50
Usar un preservativo masculino;Eficaz;Varones;Menos de 1 vez al mes;2.708,40
Usar un preservativo masculino;Eficaz;Varones;No consta;28,5
Usar un preservativo masculino;Eficaz;Mujeres;Total;9.612,60
Usar un preservativo masculino;Eficaz;Mujeres;Al menos 1 vez al mes;5.915,10
Usar un preservativo masculino;Eficaz;Mujeres;Menos de 1 vez al mes;3.676,20
Usar un preservativo masculino;Eficaz;Mujeres;No consta;21,3
Usar un preservativo masculino;No eficaz;Ambos sexos;Total;660,5
Usar un preservativo masculino;No eficaz;Ambos sexos;Al menos 1 vez al mes;366
Usar un preservativo masculino;No eficaz;Ambos sexos;Menos de 1 vez al mes;286,1
Usar un preservativo masculino;No eficaz;Ambos sexos;No consta;8,5
Usar un preservativo masculino;No eficaz;Varones;Total;275,1
Usar un preservativo masculino;No eficaz;Varones;Al menos 1 vez al mes;168,1
Usar un preservativo masculino;No eficaz;Varones;Menos de 1 vez al mes;105
Usar un preservativo masculino;No eficaz;Varones;No consta;2
Usar un preservativo masculino;No eficaz;Mujeres;Total;385,4
Usar un preservativo masculino;No eficaz;Mujeres;Al menos 1 vez al mes;197,8
Usar un preservativo masculino;No eficaz;Mujeres;Menos de 1 vez al mes;181,1
Usar un preservativo masculino;No eficaz;Mujeres;No consta;6,5
Usar un preservativo masculino;No consta;Ambos sexos;Total;470,1
Usar un preservativo masculino;No consta;Ambos sexos;Al menos 1 vez al mes;198,9
Usar un preservativo masculino;No consta;Ambos sexos;Menos de 1 vez al mes;258,4
Usar un preservativo masculino;No consta;Ambos sexos;No consta;12,8
Usar un preservativo masculino;No consta;Varones;Total;240,6
